SYS-RC-13 	 The second stage main parachute shall withstand the flight loads. 	 The flight loads depend on dynamic pressure, vehicle dimensions and mass, and deployment altitude. Quantification is difficult at the moment. 	 Analysis and Demonstration  	SYS-GN-04
SYS-RC-14 	 The second stage drogue parachute shall withstand the flight loads. 	 The flight loads depend on dynamic pressure, vehicle dimensions and mass, and deployment altitude. Quantification is difficult at the moment. 	 Analysis and Demonstration  	SYS-GN-04
SYS-RC-15 	 The second stage main parachute shall withstand shock loads. 	 The shock loads can be quantified once the payload shock requirements are defined. The reaction also depends on the type of parachute used. 	 Analysis and Demonstration  	SYS-GN-04
SYS-RC-16 	 The second stage drogue parachute shall withstand shock loads. 	 The shock loads can be quantified once the payload shock requirements are defined. The reaction also depends on the type of parachute used. 	 Analysis and Demonstration  	SYS-GN-04
SYS-RC-17 	 The second stage main parachute shall maintain stability. 	 Parachute stability can be quantified using angles of oscillation, dependent on the type of parachute, deployment altitude, and speed. 	 Analysis and Demonstration  	SYS-GN-04
SYS-RC-18 	 The second stage drogue parachute shall maintain stability. 	 Parachute stability can be quantified using angles of oscillation, dependent on the type of parachute, deployment altitude, and speed. 	 Analysis and Demonstration  	SYS-GN-04
SYS-RC-19 	 The second stage main parachute shall be orange. 	 To ensure clear visibility, orange is the best color. 	 Inspection  	SYS-GN-04
SYS-RC-20 	 The second stage drogue parachute shall be orange. 	 To ensure clear visibility, orange is the best color. 	 Inspection  	SYS-GN-04
SYS-RC-21 	 The deployment actuation system shall have a reaction timing of less than 0.5s. 	 TBD 	 Demonstration  	SYS-GN-04

STK-MR-01	The sounding rocket shall have a minimum apogee of 90 km. 
STK-MR-02	The rocket shall have a maximum total payload of 40 kg
STK-MR-03	The scientific instruments shall be capable of making in-situ measurements of the physical properties of the PMCs. 
STK-MR-05	The scientific instruments shall be capable of making in-situ measurements of the chemical properties of the PMCs
STK-MR-06	The payload shall be able to collect an atmospheric sample from inside the Polar Mesospheric Cloud.
STK-MR-07	The vehicle shall gather engine and flight performance data
STK-MR-08	The first operational flight shall take place in 2026
STK-LS-01	The rocket shall meet the safety requirements of the launch site
STK-LS-02	The rocket shall be capable of being launched at the Esrange Space Center.
STK-PR-01	The rocket propulsion system shall not use propellants that are derived from fossil fuels.
STK-PR-02	The rocket propellants shall not be toxic to the environment. 
STK-PR-03	The rocket exhaust products shall abide by the WHO Global Air Quality Guidelines.
STK-RE-01	The rocket shall have less than 9% of its parts by dry mass replaced per mission, averaged over 10 missions.
STK-RE-02	No more than 1 vehicle shall be lost, on average, over a span of 20 missions. 
STK-MK-01	The payload section shall be able to accommodate a payload of 6U
STK-FI-01	The total mission development cost shall be no more than 35 million euros
